frame_idx,frame_name,road_ratio
519,000519,0.282417
520,000520,0.2806071
521,000521,0.28824127
522,000522,0.26513162
523,000523,0.24112253
524,000524,0.24226224
525,000525,0.22872889
526,000526,0.24542348
527,000527,0.25705877
528,000528,0.25134915
529,000529,0.2827609
530,000530,0.2966668
531,000531,0.29972002
532,000532,0.2900754
533,000533,0.2745117
534,000534,0.25675675
535,000535,0.3218531
536,000536,0.3467197
537,000537,0.33632556
538,000538,0.33189675
539,000539,0.28288436
540,000540,0.27855694
541,000541,0.28734404
542,000542,0.28976676
543,000543,0.29673734
544,000544,0.31295136
545,000545,0.30538556
546,000546,0.28936556
547,000547,0.2915899
548,000548,0.29097483
549,000549,0.27152684
550,000550,0.27014682
551,000551,0.250884
552,000552,0.24610026
553,000553,0.26196817
554,000554,0.24476655
555,000555,0.26041842
556,000556,0.31349146
557,000557,0.31390372
558,000558,0.3554098
559,000559,0.36440852
560,000560,0.43018827
561,000561,0.42797056
562,000562,0.38911864
563,000563,0.37260923
564,000564,0.35505047
565,000565,0.354614
566,000566,0.33511528
567,000567,0.31632203
568,000568,0.3125722
569,000569,0.3201358
570,000570,0.32169878
571,000571,0.33130154
572,000572,0.33220538
573,000573,0.36604866
574,000574,0.38822362
575,000575,0.407266
576,000576,0.4161699
577,000577,0.41643226
578,000578,0.38692078
579,000579,0.4123231
580,000580,0.46485165
581,000581,0.49358934
582,000582,0.47224548
583,000583,0.32038268
584,000584,0.29403466
585,000585,0.30328688
586,000586,0.3164962
587,000587,0.33097306
588,000588,0.32167894
589,000589,0.32654426
590,000590,0.36924517
591,000591,0.38897976
592,000592,0.42501873
593,000593,0.43008024
594,000594,0.34878534
595,000595,0.2528482
596,000596,0.26364577
597,000597,0.2912989
598,000598,0.29972664
599,000599,0.28554296
600,000600,0.30095896
601,000601,0.3061902
602,000602,0.32722762
603,000603,0.29806447
604,000604,0.27851945
605,000605,0.26367223
606,000606,0.2621313
607,000607,0.24095719
608,000608,0.22301707
609,000609,0.21557471
610,000610,0.23109211
611,000611,0.2909109
612,000612,0.311395
613,000613,0.32041797
614,000614,0.3140448
615,000615,0.29909837
616,000616,0.26446584
617,000617,0.25907367
618,000618,0.2648428
619,000619,0.27835193
620,000620,0.2659186
621,000621,0.2693113
622,000622,0.2715577
623,000623,0.25380495
624,000624,0.25131166
625,000625,0.24994048
626,000626,0.25607556
627,000627,0.25043428
628,000628,0.21960671
629,000629,0.19450422
630,000630,0.18938759
631,000631,0.20316786
632,000632,0.18735726
633,000633,0.23232882
634,000634,0.23499405
635,000635,0.2444072
636,000636,0.22816674
637,000637,0.3230303
638,000638,0.36416605
639,000639,0.36609718
640,000640,0.393316
641,000641,0.37782946
642,000642,0.3374741
643,000643,0.30639744
644,000644,0.284961
645,000645,0.27570653
646,000646,0.26668137
647,000647,0.26233852
648,000648,0.26735815
649,000649,0.28284907
650,000650,0.30607778
651,000651,0.30513427
652,000652,0.29452404
653,000653,0.29560205
654,000654,0.32587188
655,000655,0.35582426
656,000656,0.34161413
657,000657,0.35885102
658,000658,0.35428774
659,000659,0.35361317
660,000660,0.354506
661,000661,0.34790573
662,000662,0.3486222
663,000663,0.34434327
664,000664,0.34905428
665,000665,0.34751555
666,000666,0.3544707
667,000667,0.36129138
668,000668,0.35939112
669,000669,0.36044708
670,000670,0.34315285
671,000671,0.3206318
672,000672,0.30301133
673,000673,0.28871742
674,000674,0.27673164
675,000675,0.25674573
676,000676,0.24798289
677,000677,0.25204358
678,000678,0.2439553
679,000679,0.24369076
680,000680,0.23911203
681,000681,0.24045457
682,000682,0.23988801
683,000683,0.23903267
684,000684,0.23578104
685,000685,0.22748336
686,000686,0.21908866
687,000687,0.20755038
688,000688,0.20812574
689,000689,0.22047308
690,000690,0.22984436
691,000691,0.23853004
692,000692,0.25039682
693,000693,0.25037697
694,000694,0.23959482
695,000695,0.23243684
696,000696,0.21455623
697,000697,0.21207398
698,000698,0.20312376
699,000699,0.20500419
700,000700,0.21122305
701,000701,0.21723469
702,000702,0.23226269
703,000703,0.24158105
704,000704,0.25447953
705,000705,0.264931
706,000706,0.2804462
707,000707,0.28237513
708,000708,0.2677197
709,000709,0.25351837
710,000710,0.2329571
711,000711,0.22820643
712,000712,0.22680438
713,000713,0.23072615
714,000714,0.231533
715,000715,0.23265289
716,000716,0.23445174
717,000717,0.24061109
718,000718,0.25396368
719,000719,0.25867906
720,000720,0.27099997
721,000721,0.28215468
722,000722,0.2929743
723,000723,0.2898373
724,000724,0.30529517
725,000725,0.29939377
726,000726,0.31008774
727,000727,0.3116948
728,000728,0.31496626
729,000729,0.32636127
730,000730,0.34291038
731,000731,0.35193774
732,000732,0.3527027
733,000733,0.33697367
734,000734,0.31506768
735,000735,0.30371237
736,000736,0.3017173
737,000737,0.3124223
738,000738,0.3102553
739,000739,0.30886424
740,000740,0.3015784
741,000741,0.30973724
742,000742,0.31059477
743,000743,0.30572066
744,000744,0.29255325
745,000745,0.28402847
746,000746,0.27577266
747,000747,0.2681848
748,000748,0.2567788
749,000749,0.24658746
750,000750,0.23634098
751,000751,0.21052203
752,000752,0.2358031
753,000753,0.25761652
754,000754,0.22937702
755,000755,0.20729905
756,000756,0.2098276
757,000757,0.29474008
758,000758,0.2823685
759,000759,0.29879856
760,000760,0.29227766
761,000761,0.34683657
762,000762,0.39237025
763,000763,0.36681584
764,000764,0.37597108
765,000765,0.3683193
766,000766,0.5557824
767,000767,0.5765795
768,000768,0.5617345
769,000769,0.51058817
770,000770,0.48705304
771,000771,0.47566023
